Date,Confirmed,Hospitalised,ICU,HCW,Cluster
2020-03-01,0,NA,NA,NA,NA
2020-03-02,0,NA,NA,NA,NA
2020-03-03,1,NA,NA,NA,NA
2020-03-04,5,NA,NA,NA,NA
2020-03-05,12,NA,NA,NA,NA
2020-03-06,17,NA,NA,NA,NA
2020-03-07,18,NA,NA,NA,NA
2020-03-08,20,NA,NA,NA,NA
2020-03-09,23,NA,NA,NA,NA
2020-03-10,33,NA,NA,NA,NA
2020-03-11,42,NA,NA,NA,NA
2020-03-12,69,NA,NA,NA,NA
2020-03-13,89,NA,NA,NA,NA
2020-03-14,128,NA,NA,NA,NA
2020-03-15,168,NA,NA,NA,NA
2020-03-16,271,84,6,59,23
2020-03-17,350,108,7,84,26
2020-03-18,438,140,12,114,27
2020-03-19,584,173,13,147,29
2020-03-20,712,211,17,159,35
2020-03-21,836,239,25,208,37
2020-03-22,965,277,36,247,44
2020-03-23,1146,305,39,283,63
2020-03-24,1383,340,47,321,66
2020-03-25,1639,419,59,375,79
2020-03-26,1904,489,67,445,91
2020-03-27,2216,564,77,506,103
2020-03-28,2475,645,84,578,111
2020-03-29,2677,703,113,674,118
2020-03-30,2990,834,126,752,134
2020-03-31,3282,932,134,841,160
2020-04-01,3655,1039,148,948,171
2020-04-02,4014,1118,158,1084,206
2020-04-03,4443,1203,165,1163,236
2020-04-04,4916,1265,169,1263,260
2020-04-05,5593,1345,194,1388,270
2020-04-06,5981,1472,224,1568,299
2020-04-07,6444,1521,230,1765,317
2020-04-08,7071,1631,244,1949,339
2020-04-09,7787,1718,253,2141,356
2020-04-10,8496,1777,261,2312,382
2020-04-11,9484,1849,268,2489,401
2020-04-12,10385,1903,275,2707,408
2020-04-13,11261,1968,280,2872,413
2020-04-14,12425,2026,284,3090,425
2020-04-15,13012,2082,294,3347,436
2020-04-16,13746,2168,296,3573,454
2020-04-17,14602,2233,303,3788,472
2020-04-18,15185,2272,306,4009,478
2020-04-19,15464,2323,315,4180,491
2020-04-20,15871,2387,322,4393,507
2020-04-21,16439,2424,331,4545,522
2020-04-22,17420,2486,338,4713,548
2020-04-23,17975,2536,344,4847,567
2020-04-24,18431,2576,349,5064,601
2020-04-25,19095,2624,353,5204,604
2020-04-26,19383,2638,358,5414,608
2020-04-27,19823,2669,355,5568,620
2020-04-28,20111,2706,360,5684,630
2020-04-29,20510,2768,367,5840,646
2020-04-30,20742,2785,368,5973,676
2020-05-01,21064,2825,363,6068,694
2020-05-02,21437,2840,364,6211,703
2020-05-03,21659,2879,369,6293,706
2020-05-04,21908,2878,373,6393,710
2020-05-05,22186,2891,376,6498,733
2020-05-06,22301,2915,373,6586,737
2020-05-07,22495,2954,381,6669,746
2020-05-08,22671,2986,383,6771,750
2020-05-09,22894,2998,383,6834,755
2020-05-10,23089,3031,386,6906,759
2020-05-11,23144,3050,389,6997,766
2020-05-12,23259,3053,387,7123,766
2020-05-13,23627,3062,387,7427,781
2020-05-14,23779,3094,389,7530,784
2020-05-15,23953,3117,389,7566,800
2020-05-16,24036,3127,391,7615,805
2020-05-17,24176,3143,390,7661,806
2020-05-18,24204,3164,393,7708,810
2020-05-19,24274,3183,392,7747,814
2020-05-20,24351,3194,393,7791,823
2020-05-21,24451,3211,393,7813,829
2020-05-22,24569,3222,394,7819,844
2020-05-23,24593,3225,394,7842,846
2020-05-24,24629,3233,395,7852,846
2020-05-25,24730,3251,399,7891,846
2020-05-26,24795,3267,404,7920,850
2020-05-27,24837,3270,404,7943,856
2020-05-28,24870,3279,408,7955,861
2020-05-29,24924,3283,408,7963,866
2020-05-30,24985,3286,408,7968,866
2020-05-31,25056,3292,408,7986,867
2020-06-01,25064,3298,409,8004,872
2020-06-02,25104,3311,410,8025,876
